Patrol ID,Type,Patrol Start Date,Patrol End Date,Station,Team,Objective,Mandate,Armed,Patrol Leg ID,Leader,Patrol Transport Type,Waypoint ID,Waypoint Date,Waypoint Time,X,Y,Last Modified,Last Modified By,Observation Category 0,Observation Category 1,Jenis satwa,Keterangan,Tipe temuan,Usia temuan
PJ_Maret_2023_000001,Ground,19-Mar-23,19-Mar-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,14,19-Mar-23,9:35:24 AM,110.0502167,-1.121405,3/30/2023 14:09,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
PJ_Maret_2023_000001,Ground,19-Mar-23,19-Mar-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,3,19-Mar-23,8:31:56 AM,110.0475833,-1.122455,3/30/2023 14:09,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
RP_Juni_2023_000002,Ground,20-Jun-23,20-Jun-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Rudiansyah Rudiansyah,Jalan Kaki,7,20-Jun-23,10:51:50 AM,110.0582467,-1.159665,11/6/2023 14:44,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Cukup baru (1 - 2 minggu)
RP_Juni_2023_000002,Ground,20-Jun-23,20-Jun-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Rudiansyah Rudiansyah,Jalan Kaki,13,20-Jun-23,12:49:15 PM,110.0566067,-1.154053333,11/6/2023 14:44,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Bekas makan,Baru (dalam 1 minggu)
RP_Juni_2023_000002,Ground,20-Jun-23,20-Jun-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Rudiansyah Rudiansyah,Jalan Kaki,8,20-Jun-23,11:09:37 AM,110.06038,-1.15756,11/6/2023 14:44,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Lama (2 - 4 minggu)
RP_Januari_2023_000002,Ground,24-Jan-23,24-Jan-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Rudiansyah Rudiansyah,Jalan Kaki,6,24-Jan-23,10:30:56 AM,110.060345,-1.161503333,11/6/2023 14:41,smart smart,Satwa Liar,Tanda Satwa,Beruang Madu - Helarctos malayanus,,Cakaran,Lama (2 - 4 minggu)
PJ_Juli_2023_FFI_000007,Ground,24-Jul-23,24-Jul-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,8,24-Jul-23,9:43:36 AM,110.0629467,-1.117246667,7/27/2023 21:41,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Cukup lama (>1 bulan)
PJ_September_2023_FFI_000004,Ground,27-Sep-23,27-Sep-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,3,27-Sep-23,8:47:34 AM,110.039745,-1.128636667,10/3/2023 12:12,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Lama (2 - 4 minggu)
RP_Mei_2023_000004,Ground,31-May-23,31-May-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Rudiansyah Rudiansyah,Jalan Kaki,15,31-May-23,10:46:37 AM,110.059705,-1.15263,11/6/2023 14:46,smart smart,Satwa Liar,Tanda Satwa,Beruang Madu - Helarctos malayanus,,Cakaran,Sangat lama (>3bulan)
RP_Mei_2023_000004,Ground,31-May-23,31-May-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Rudiansyah Rudiansyah,Jalan Kaki,25,31-May-23,12:29:39 PM,110.059105,-1.152691667,11/6/2023 14:46,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Kotoran,Baru (dalam 1 minggu)
