Patrol ID,Type,Patrol Start Date,Patrol End Date,Station,Team,Objective,Mandate,Armed,Patrol Leg ID,Leader,Patrol Transport Type,Waypoint ID,Waypoint Date,Waypoint Time,X,Y,Last Modified,Last Modified By,Observation Category 0,Observation Category 1,Jumlah,Keaktifan,Keterangan,Modus penggunaan kawasan,Pelanggaran,Perlu tindak lanjut,Satuan,Tindakan,Tipe temuan,Usia temuan
PB_Okt_000001,Ground,18-Oct-22,18-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,14,18-Oct-22,9:11:26 AM,109.8464533,-1.039853333,1/15/2023 18:58,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Ya,Ya,unit,Diobservasi,Plang klaim lahan,Sangat lama (>3bulan)
PB_Okt_000001,Ground,18-Oct-22,18-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,21,18-Oct-22,9:25:32 AM,109.8437633,-1.038575,1/15/2023 18:58,smart smart,Aktivitas Manusia,Penggunaan Kawasan,5,Aktif,,,Ya,Ya,m2,Diobservasi,Plang klaim lahan,Lama (2 - 4 minggu)
PB_Okt_000001,Ground,18-Oct-22,18-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,18,18-Oct-22,9:20:05 AM,109.8449733,-1.038976667,1/15/2023 18:59,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Ya,Ya,unit,Diobservasi,Plang klaim lahan,Sangat lama (>3bulan)
PB_Juni_0006,Ground,26-Jun-22,26-Jun-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,3,26-Jun-22,9:33:34 AM,109.847845,-1.033265,12/12/2022 15:58,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Bukan,,m2,Diobservasi,Kebun campuran,Cukup lama (>1 bulan)
PB_Desember_2022_000002,Ground,15-Dec-22,15-Dec-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,25,15-Dec-22,11:39:25 AM,109.8764967,-1.022013333,1/3/2023 10:47,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Ya,Ya,unit,Diobservasi,Bangunan/pemukiman non-permanen,Diatas 1 tahun
PB_Okt_000002,Ground,19-Oct-22,19-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,3,19-Oct-22,8:55:11 AM,109.8497367,-1.04118,12/12/2022 15:55,smart smart,Aktivitas Manusia,Penggunaan Kawasan,5,Aktif,,,Ya,Ya,batang,Diobservasi,Kebun sawit,Sangat lama (>3bulan)
PM_April_000005,Ground,21-Apr-22,21-Apr-22,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,4,21-Apr-22,8:18:48 AM,109.8863183,-1.071858333,12/12/2022 15:50,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Ya,Ya,hektar,Tidak ditindak,Kebun sawit,Sangat lama (>3bulan)
PM_April_000005,Ground,21-Apr-22,21-Apr-22,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,3,21-Apr-22,8:14:15 AM,109.887215,-1.072051667,12/12/2022 15:50,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Ya,Ya,hektar,Tidak ditindak,Kebun sawit,Sangat lama (>3bulan)
PB_April_000007,Ground,22-Apr-22,22-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,21,22-Apr-22,9:10:05 AM,109.8473317,-1.032996667,12/12/2022 16:00,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Ya,Ya,hektar,Diobservasi,Kebun campuran,Diatas 1 tahun
PB_April_000007,Ground,22-Apr-22,22-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,11,22-Apr-22,8:38:41 AM,109.8458917,-1.032626667,12/12/2022 16:00,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Ya,Ya,hektar,Diobservasi,Kebun sawit,Diatas 1 tahun
PB_April_000007,Ground,22-Apr-22,22-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,5,22-Apr-22,8:22:54 AM,109.8452217,-1.03221,12/12/2022 16:00,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Ya,Ya,hektar,Diobservasi,Kebun sawit,Diatas 1 tahun
PB_April_000007,Ground,22-Apr-22,22-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,6,22-Apr-22,8:27:57 AM,109.8457433,-1.03243,12/12/2022 16:00,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Bukan,,hektar,Diobservasi,Kebun nanas,Diatas 1 tahun
PB_April_000007,Ground,22-Apr-22,22-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,7,22-Apr-22,8:28:53 AM,109.8457633,-1.032458333,12/12/2022 16:00,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Bukan,,hektar,Diobservasi,Kebun karet,Diatas 1 tahun
